x1 	 x2 	 x3 	 pain 	 Freq
1 	 1 	 1 	 worse 	 0
2 	 1 	 1 	 worse 	 0
1 	 2 	 1 	 worse 	 0
2 	 2 	 1 	 worse 	 0
1 	 3 	 1 	 worse 	 0
2 	 3 	 1 	 worse 	 2
1 	 1 	 2 	 worse 	 0
2 	 1 	 2 	 worse 	 0
1 	 2 	 2 	 worse 	 0
2 	 2 	 2 	 worse 	 1
1 	 3 	 2 	 worse 	 0
2 	 3 	 2 	 worse 	 2
1 	 1 	 1 	 same 	 1
2 	 1 	 1 	 same 	 0
1 	 2 	 1 	 same 	 2
2 	 2 	 1 	 same 	 3
1 	 3 	 1 	 same 	 0
2 	 3 	 1 	 same 	 2
1 	 1 	 2 	 same 	 0
2 	 1 	 2 	 same 	 1
1 	 2 	 2 	 same 	 1
2 	 2 	 2 	 same 	 4
1 	 3 	 2 	 same 	 0
2 	 3 	 2 	 same 	 0
1 	 1 	 1 	 slight.improvement 	 0
2 	 1 	 1 	 slight.improvement 	 3
1 	 2 	 1 	 slight.improvement 	 3
2 	 2 	 1 	 slight.improvement 	 4
1 	 3 	 1 	 slight.improvement 	 0
2 	 3 	 1 	 slight.improvement 	 1
1 	 1 	 2 	 slight.improvement 	 0
2 	 1 	 2 	 slight.improvement 	 0
1 	 2 	 2 	 slight.improvement 	 0
2 	 2 	 2 	 slight.improvement 	 4
1 	 3 	 2 	 slight.improvement 	 1
2 	 3 	 2 	 slight.improvement 	 2
1 	 1 	 1 	 moderate.improvement 	 0
2 	 1 	 1 	 moderate.improvement 	 0
1 	 2 	 1 	 moderate.improvement 	 0
2 	 2 	 1 	 moderate.improvement 	 5
1 	 3 	 1 	 moderate.improvement 	 0
2 	 3 	 1 	 moderate.improvement 	 5
1 	 1 	 2 	 moderate.improvement 	 1
2 	 1 	 2 	 moderate.improvement 	 0
1 	 2 	 2 	 moderate.improvement 	 2
2 	 2 	 2 	 moderate.improvement 	 3
1 	 3 	 2 	 moderate.improvement 	 1
2 	 3 	 2 	 moderate.improvement 	 3
1 	 1 	 1 	 marked.improvement 	 2
2 	 1 	 1 	 marked.improvement 	 1
1 	 2 	 1 	 marked.improvement 	 6
2 	 2 	 1 	 marked.improvement 	 6
1 	 3 	 1 	 marked.improvement 	 2
2 	 3 	 1 	 marked.improvement 	 2
1 	 1 	 2 	 marked.improvement 	 3
2 	 1 	 2 	 marked.improvement 	 3
1 	 2 	 2 	 marked.improvement 	 0
2 	 2 	 2 	 marked.improvement 	 0
1 	 3 	 2 	 marked.improvement 	 3
2 	 3 	 2 	 marked.improvement 	 0
1 	 1 	 1 	 complete.relief 	 4
2 	 1 	 1 	 complete.relief 	 2
1 	 2 	 1 	 complete.relief 	 4
2 	 2 	 1 	 complete.relief 	 2
1 	 3 	 1 	 complete.relief 	 2
2 	 3 	 1 	 complete.relief 	 0
1 	 1 	 2 	 complete.relief 	 0
2 	 1 	 2 	 complete.relief 	 0
1 	 2 	 2 	 complete.relief 	 1
2 	 2 	 2 	 complete.relief 	 1
1 	 3 	 2 	 complete.relief 	 0
2 	 3 	 2 	 complete.relief 	 0
